Brand,Info,Price,IntPrice
DELL,"XPS 13 13.3"" Intel® Core™ i5 Laptop - 256 GB SSD, Silver","£1,129.00",1129.0
ACER,"CB3-431 14"" Intel® Celeron® Full HD Chromebook - 32 GB eMMC, Gold",£299.00,299.0
DELL,"Inspiron 15 5000 15.6"" Intel® Core™ i5 Laptop - 2 TB HDD, Black",£629.00,629.0
ACER,Predator Helios 500 17.3” Intel® Core™ i7 GTX 1070 Gaming Laptop - 1 TB HDD & 256 GB SSD,"£1,799.99",1799.99
GOOGLE,"Pixelbook 00122 12.3"" Intel® Core™ i5 2 in 1 Chromebook - 128 GB eMMC, Silver",£999.00,999.0
HP,"Pavilion 15-cw0597sa 15.6"" AMD Ryzen 3 Laptop - 128 GB SSD, Gold",£399.00,399.0
DELL,"Inspiron 15 5570 15.6"" Intel® Core™ i5 Laptop - 1 TB HDD, Silver",£529.00,529.0
ASUS,"C101 10.1"" 2 in 1 Chromebook - 16 GB eMMC, Silver",£299.00,299.0
HP,"Stream 14-ax057sa 14"" Intel® Celeron™ Laptop - 32 GB eMMC, White",£229.00,229.0
DELL,"XPS 15 15.6"" Intel® Core™ i5 Laptop - 1 TB HDD & 128 GB SSD, Silver","£1,149.00",1149.0
APPLE,"MacBook Pro 13"" with Touch Bar - 512 GB SSD, Space Grey (2018)","£1,789.00",1789.0
LG,"GRAM 13Z980 13"" Intel® Core™ i5 Laptop - 256 GB SSD, Silver",£949.00,949.0
LENOVO,"YOGA 730 13.3"" Intel® Core™ i5 2 in 1 - 256 GB SSD, Grey",£898.97,898.97
LENOVO,"330-14AST 14"" AMD A6 Laptop - 1 TB HDD, Grey",£245.00,245.0
MICROSOFT,"Surface Book 2 13.5"" Intel® Core™ i7 - 256 GB SSD, Silver","£1,999.00",1999.0
ACER,"CB515-1HT 15.6 Intel® Pentium® Chromebook - 64 GB eMMC, Silver",£399.00,399.0
ACER,"CB3-431 14"" Intel® Celeron® Chromebook - 32 GB eMMC, Silver",£299.00,299.0
ACER,"Swift 3 14"" Intel® Pentium® Gold Laptop - 128 GB SSD, Silver",£379.00,379.0
